Flag,Duration,protocol,src_ip,src_port,dst_ip,dst_port,Predicted_Value,Real_Value
None,210538,UDP,192.168.100.197,55720,239.255.255.250,1900,BENIGN,BENIGN
None,641040,IPv6,fe80::a73e:4eb4:2a7b:71fc,0,ff02::16,0,BENIGN,BENIGN
None,641069,IPv6,fe80::a73e:4eb4:2a7b:71fc,0,ff02::16,0,BENIGN,BENIGN
None,2050013,UDP,192.168.100.77,8001,224.0.0.7,8001,BENIGN,BENIGN
None,2000531,ARP,192.168.101.13,0,192.168.101.13,0,BENIGN,BENIGN
None,2000548,ARP,192.168.101.13,0,192.168.101.13,0,BENIGN,BENIGN
[<Flag 2 (S)>],20,TCP,192.168.101.13,48604,34.107.243.93,443,BENIGN,BENIGN
[<Flag 18 (SA)>],121433,TCP,192.168.101.13,48604,34.107.243.93,443,BENIGN,BENIGN
[<Flag 16 (A)>],121811,TCP,192.168.101.13,48604,34.107.243.93,443,BENIGN,BENIGN
[<Flag 16 (A)>],121819,TCP,192.168.101.13,48604,34.107.243.93,443,BENIGN,BENIGN
[<Flag 24 (PA)>],124340,TCP,192.168.101.13,48604,34.107.243.93,443,BENIGN,BENIGN
[<Flag 24 (PA)>],124352,TCP,192.168.101.13,48604,34.107.243.93,443,BENIGN,BENIGN
[<Flag 16 (A)>],218388,TCP,192.168.101.13,48604,34.107.243.93,443,BENIGN,BENIGN
[<Flag 17 (FA)>],218388,TCP,192.168.101.13,48604,34.107.243.93,443,BENIGN,BENIGN
[<Flag 17 (FA)>],5,TCP,192.168.101.13,48604,34.107.243.93,443,BENIGN,BENIGN
None,612076,IPv6,fe80::111a:984e:1e3e:a7e2,0,ff02::1:ffa9:749e,0,BENIGN,BENIGN
None,3993808,UDP,192.168.100.77,8001,224.0.0.7,8001,BENIGN,BENIGN
None,4001125,ARP,192.168.101.13,0,192.168.101.13,0,BENIGN,BENIGN
None,4001135,ARP,192.168.101.13,0,192.168.101.13,0,BENIGN,BENIGN
None,1637993,IPv6,fe80::111a:984e:1e3e:a7e2,0,ff02::1:ffa9:749e,0,BENIGN,BENIGN
None,11,UDP,192.168.100.174,137,192.168.101.254,57108,BENIGN,BENIGN
[<Flag 18 (SA)>],392,TCP,192.168.101.254,51831,192.168.100.174,445,BENIGN,BENIGN
[<Flag 18 (SA)>],402,TCP,192.168.101.254,51831,192.168.100.174,445,BENIGN,BENIGN
None,614,ARP,192.168.101.254,0,192.168.100.174,0,BENIGN,BENIGN
[<Flag 16 (A)>],42446,TCP,192.168.101.254,51831,192.168.100.174,445,BENIGN,BENIGN
[<Flag 17 (FA)>],215639,TCP,192.168.101.254,51831,192.168.100.174,445,BENIGN,BENIGN
[<Flag 18 (SA)>],221,TCP,192.168.101.254,51832,192.168.100.174,139,BENIGN,BENIGN
[<Flag 18 (SA)>],233,TCP,192.168.101.254,51832,192.168.100.174,139,BENIGN,BENIGN
[<Flag 18 (SA)>],526,TCP,192.168.101.254,51833,192.168.100.174,445,BENIGN,BENIGN
[<Flag 18 (SA)>],531,TCP,192.168.101.254,51833,192.168.100.174,445,BENIGN,BENIGN
[<Flag 20 (RA)>],21,TCP,192.168.100.174,445,192.168.101.254,51831,BENIGN,BENIGN
[<Flag 16 (A)>],172206,TCP,192.168.101.254,51833,192.168.100.174,445,BENIGN,BENIGN
[<Flag 24 (PA)>],172206,TCP,192.168.101.254,51833,192.168.100.174,445,BENIGN,BENIGN
[<Flag 20 (RA)>],172473,TCP,192.168.101.254,51833,192.168.100.174,445,BENIGN,BENIGN
[<Flag 4 (R)>],183093,TCP,192.168.101.254,51832,192.168.100.174,139,BENIGN,BENIGN
None,3852615,IPv6,fe80::a73e:4eb4:2a7b:71fc,0,ff02::2,0,BENIGN,BENIGN
None,3852665,IPv6,fe80::a73e:4eb4:2a7b:71fc,0,ff02::2,0,BENIGN,BENIGN
[<Flag 24 (PA)>],10044385,TCP,192.168.100.178,8009,192.168.100.174,64884,BENIGN,BENIGN
None,6044421,UDP,192.168.100.77,8001,224.0.0.7,8001,BENIGN,BENIGN
None,27170,UDP,192.168.100.1,53,192.168.101.13,35882,BENIGN,BENIGN
None,0,UDP,192.168.100.1,53,192.168.101.13,37539,BENIGN,BENIGN
None,1739,UDP,192.168.100.1,53,192.168.101.13,36051,BENIGN,BENIGN
None,4909817,UDP,192.168.100.1,53,192.168.101.13,59750,BENIGN,BENIGN
None,28424,UDP,192.168.100.1,53,192.168.101.13,38760,BENIGN,BENIGN
[<Flag 2 (S)>],3,TCP,192.168.101.13,41716,34.107.221.82,80,BENIGN,BENIGN
None,38570,UDP,192.168.100.1,53,192.168.101.13,59785,BENIGN,BENIGN
None,4920101,UDP,192.168.100.1,53,192.168.101.13,59750,BENIGN,BENIGN
None,26613,UDP,192.168.100.1,53,192.168.101.13,45193,BENIGN,BENIGN
[<Flag 18 (SA)>],45159,TCP,192.168.101.13,41716,34.107.221.82,80,BENIGN,BENIGN
[<Flag 16 (A)>],45583,TCP,192.168.101.13,41716,34.107.221.82,80,BENIGN,BENIGN
[<Flag 16 (A)>],45590,TCP,192.168.101.13,41716,34.107.221.82,80,BENIGN,BENIGN
[<Flag 24 (PA)>],46017,TCP,192.168.101.13,41716,34.107.221.82,80,BENIGN,BENIGN
[<Flag 24 (PA)>],46024,TCP,192.168.101.13,41716,34.107.221.82,80,BENIGN,BENIGN
[<Flag 16 (A)>],51250,TCP,192.168.101.13,41716,34.107.221.82,80,BENIGN,BENIGN
None,3156,UDP,192.168.100.1,53,192.168.101.13,56142,BENIGN,BENIGN
[<Flag 24 (PA)>],54202,TCP,192.168.101.13,41716,34.107.221.82,80,BENIGN,BENIGN
[<Flag 25 (FPA)>],54684,TCP,192.168.101.13,41716,34.107.221.82,80,BENIGN,BENIGN
[<Flag 16 (A)>],10,TCP,192.168.101.13,41716,34.107.221.82,80,DoS/DDoS,BENIGN
[<Flag 17 (FA)>],570,TCP,192.168.101.13,41716,34.107.221.82,80,DoS/DDoS,BENIGN
None,1164,UDP,192.168.100.1,53,192.168.101.13,42940,BENIGN,BENIGN
[<Flag 2 (S)>],12,TCP,192.168.101.13,39970,192.168.100.1,80,BENIGN,BENIGN
[<Flag 16 (A)>],16228,TCP,192.168.101.13,41716,34.107.221.82,80,BENIGN,BENIGN
None,23922,UDP,192.168.100.1,53,192.168.101.13,49189,BENIGN,BENIGN
[<Flag 18 (SA)>],33270,TCP,192.168.101.13,39970,192.168.100.1,80,BENIGN,BENIGN
[<Flag 16 (A)>],33725,TCP,192.168.101.13,39970,192.168.100.1,80,BENIGN,BENIGN
[<Flag 16 (A)>],33740,TCP,192.168.101.13,39970,192.168.100.1,80,BENIGN,BENIGN
[<Flag 24 (PA)>],34079,TCP,192.168.101.13,39970,192.168.100.1,80,BENIGN,BENIGN
[<Flag 24 (PA)>],34090,TCP,192.168.101.13,39970,192.168.100.1,80,BENIGN,BENIGN
[<Flag 2 (S)>],10,TCP,192.168.101.13,48616,34.107.243.93,443,BENIGN,BENIGN
[<Flag 16 (A)>],42386,TCP,192.168.101.13,39970,192.168.100.1,80,BENIGN,BENIGN
[<Flag 18 (SA)>],7518,TCP,192.168.101.13,48616,34.107.243.93,443,BENIGN,BENIGN
[<Flag 16 (A)>],8271,TCP,192.168.101.13,48616,34.107.243.93,443,BENIGN,BENIGN
[<Flag 16 (A)>],8343,TCP,192.168.101.13,48616,34.107.243.93,443,BENIGN,BENIGN
[<Flag 16 (A)>],44803,TCP,192.168.101.13,39970,192.168.100.1,80,BENIGN,BENIGN
[<Flag 16 (A)>],44803,TCP,192.168.101.13,39970,192.168.100.1,80,BENIGN,BENIGN
[<Flag 24 (PA)>],44803,TCP,192.168.101.13,39970,192.168.100.1,80,BENIGN,BENIGN
[<Flag 16 (A)>],44803,TCP,192.168.101.13,39970,192.168.100.1,80,BENIGN,BENIGN
[<Flag 24 (PA)>],11577,TCP,192.168.101.13,48616,34.107.243.93,443,BENIGN,BENIGN
[<Flag 24 (PA)>],11595,TCP,192.168.101.13,48616,34.107.243.93,443,BENIGN,BENIGN
[<Flag 16 (A)>],15281,TCP,192.168.101.13,48616,34.107.243.93,443,BENIGN,BENIGN
[<Flag 16 (A)>],52725,TCP,192.168.101.13,39970,192.168.100.1,80,BENIGN,BENIGN
[<Flag 16 (A)>],52748,TCP,192.168.101.13,39970,192.168.100.1,80,BENIGN,BENIGN
[<Flag 16 (A)>],52895,TCP,192.168.101.13,39970,192.168.100.1,80,BENIGN,BENIGN
[<Flag 16 (A)>],52900,TCP,192.168.101.13,39970,192.168.100.1,80,BENIGN,BENIGN
None,510328,Routing,192.168.100.55,0,224.0.0.22,0,BENIGN,BENIGN
[<Flag 17 (FA)>],42576,TCP,192.168.101.13,48616,34.107.243.93,443,BENIGN,BENIGN
[<Flag 24 (PA)>],77444,TCP,192.168.101.13,39970,192.168.100.1,80,BENIGN,BENIGN
[<Flag 16 (A)>],77913,TCP,192.168.101.13,39970,192.168.100.1,80,BENIGN,BENIGN
[<Flag 16 (A)>],77921,TCP,192.168.101.13,39970,192.168.100.1,80,BENIGN,BENIGN
[<Flag 17 (FA)>],7,TCP,192.168.101.13,48616,34.107.243.93,443,BENIGN,BENIGN
None,2037826,Routing,192.168.101.232,0,224.0.0.22,0,BENIGN,BENIGN
None,0,UDP,192.168.101.254,137,192.168.101.255,137,BENIGN,BENIGN
None,0,UDP,192.168.101.254,137,192.168.101.255,137,BENIGN,BENIGN
None,5,UDP,192.168.100.174,137,192.168.101.254,137,BENIGN,BENIGN
None,104173,UDP,192.168.101.254,137,192.168.101.255,137,BENIGN,BENIGN
None,104114,UDP,192.168.100.174,137,192.168.101.254,137,BENIGN,BENIGN
None,104116,UDP,192.168.100.174,137,192.168.101.254,137,BENIGN,BENIGN
None,4,UDP,192.168.100.174,137,192.168.101.255,137,BENIGN,BENIGN
None,310039,UDP,192.168.101.254,137,192.168.101.255,137,BENIGN,BENIGN
None,310039,UDP,192.168.101.254,137,192.168.101.255,137,BENIGN,BENIGN
None,309868,UDP,192.168.100.174,137,192.168.101.254,137,BENIGN,BENIGN
None,3,UDP,192.168.100.174,138,192.168.101.254,138,BENIGN,BENIGN
None,318731,UDP,192.168.100.174,137,192.168.101.254,137,BENIGN,BENIGN
None,318788,UDP,192.168.100.174,137,192.168.101.254,137,BENIGN,BENIGN
None,318790,UDP,192.168.100.174,137,192.168.101.254,137,BENIGN,BENIGN
None,1944048,IPv6,fe80::1412:68c7:9c15:7ce4,0,ff02::16,0,BENIGN,BENIGN
None,2965391,Routing,192.168.100.203,0,224.0.0.22,0,BENIGN,BENIGN
None,7987235,UDP,192.168.100.77,8001,224.0.0.7,8001,BENIGN,BENIGN
None,22,ARP,192.168.101.13,0,192.168.100.174,0,BENIGN,BENIGN
None,52,ARP,192.168.101.13,0,192.168.100.174,0,BENIGN,BENIGN
None,56,ARP,192.168.101.13,0,192.168.100.174,0,BENIGN,BENIGN
None,211930,ARP,192.168.101.13,0,192.168.100.174,0,BENIGN,BENIGN
None,211936,ARP,192.168.101.13,0,192.168.100.174,0,BENIGN,BENIGN
None,211951,ARP,192.168.101.13,0,192.168.100.174,0,BENIGN,BENIGN
None,211954,ARP,192.168.101.13,0,192.168.100.174,0,BENIGN,BENIGN
[<Flag 2 (S)>],3,TCP,192.168.101.13,50720,192.168.100.174,5900,BENIGN,PortScan
[<Flag 18 (SA)>],99,TCP,192.168.101.13,50720,192.168.100.174,5900,BENIGN,PortScan
[<Flag 18 (SA)>],101,TCP,192.168.101.13,50720,192.168.100.174,5900,BENIGN,PortScan
[<Flag 2 (S)>],1,TCP,192.168.101.13,50720,192.168.100.174,143,BENIGN,PortScan
[<Flag 2 (S)>],2,TCP,192.168.101.13,50720,192.168.100.174,53,BENIGN,PortScan
[<Flag 2 (S)>],3,TCP,192.168.101.13,50720,192.168.100.174,993,BENIGN,PortScan
[<Flag 2 (S)>],2,TCP,192.168.101.13,50720,192.168.100.174,554,BENIGN,PortScan
[<Flag 2 (S)>],2,TCP,192.168.101.13,50720,192.168.100.174,995,BENIGN,PortScan
[<Flag 2 (S)>],2,TCP,192.168.101.13,50720,192.168.100.174,23,BENIGN,PortScan
[<Flag 2 (S)>],3,TCP,192.168.101.13,50720,192.168.100.174,25,BENIGN,PortScan
[<Flag 2 (S)>],2,TCP,192.168.101.13,50720,192.168.100.174,113,BENIGN,PortScan
[<Flag 2 (S)>],3,TCP,192.168.101.13,50720,192.168.100.174,1723,BENIGN,PortScan
[<Flag 4 (R)>],704,TCP,192.168.101.13,50720,192.168.100.174,5900,BENIGN,PortScan
[<Flag 2 (S)>],7,TCP,192.168.101.13,50720,192.168.100.174,3306,BENIGN,PortScan
[<Flag 18 (SA)>],173,TCP,192.168.101.13,50720,192.168.100.174,3306,BENIGN,PortScan
[<Flag 18 (SA)>],176,TCP,192.168.101.13,50720,192.168.100.174,3306,BENIGN,PortScan
[<Flag 2 (S)>],5,TCP,192.168.101.13,50720,192.168.100.174,80,BENIGN,PortScan
[<Flag 18 (SA)>],102,TCP,192.168.101.13,50720,192.168.100.174,80,BENIGN,PortScan
[<Flag 18 (SA)>],106,TCP,192.168.101.13,50720,192.168.100.174,80,BENIGN,PortScan
[<Flag 4 (R)>],682,TCP,192.168.101.13,50720,192.168.100.174,3306,BENIGN,PortScan
[<Flag 4 (R)>],373,TCP,192.168.101.13,50720,192.168.100.174,80,BENIGN,PortScan
[<Flag 2 (S)>],23,TCP,192.168.101.13,50720,192.168.100.174,110,BENIGN,PortScan
[<Flag 2 (S)>],7,TCP,192.168.101.13,50720,192.168.100.174,139,BENIGN,PortScan
[<Flag 18 (SA)>],161,TCP,192.168.101.13,50720,192.168.100.174,139,BENIGN,PortScan
[<Flag 18 (SA)>],167,TCP,192.168.101.13,50720,192.168.100.174,139,BENIGN,PortScan
[<Flag 2 (S)>],2,TCP,192.168.101.13,50720,192.168.100.174,22,BENIGN,PortScan
[<Flag 2 (S)>],2,TCP,192.168.101.13,50720,192.168.100.174,256,BENIGN,PortScan
[<Flag 4 (R)>],456,TCP,192.168.101.13,50720,192.168.100.174,139,BENIGN,PortScan
[<Flag 2 (S)>],11,TCP,192.168.101.13,50720,192.168.100.174,445,BENIGN,PortScan
[<Flag 18 (SA)>],92,TCP,192.168.101.13,50720,192.168.100.174,445,BENIGN,PortScan
[<Flag 18 (SA)>],96,TCP,192.168.101.13,50720,192.168.100.174,445,BENIGN,PortScan
[<Flag 4 (R)>],260,TCP,192.168.101.13,50720,192.168.100.174,445,BENIGN,PortScan
[<Flag 2 (S)>],4,TCP,192.168.101.13,50720,192.168.100.174,587,BENIGN,PortScan
[<Flag 2 (S)>],9,TCP,192.168.101.13,50720,192.168.100.174,1720,BENIGN,PortScan
[<Flag 2 (S)>],9,TCP,192.168.101.13,50720,192.168.100.174,111,BENIGN,PortScan
None,6150389,IPv6,fe80::111a:984e:1e3e:a7e2,0,ff02::1:ffa9:749e,0,BENIGN,BENIGN
None,6653605,IPv6,fe80::111a:984e:1e3e:a7e2,0,ff02::1:ffa9:749e,0,BENIGN,BENIGN
[<Flag 2 (S)>],5,TCP,192.168.101.13,50722,192.168.100.174,111,BENIGN,PortScan
[<Flag 2 (S)>],17,TCP,192.168.101.13,50722,192.168.100.174,1720,BENIGN,PortScan
[<Flag 2 (S)>],5,TCP,192.168.101.13,50722,192.168.100.174,587,BENIGN,PortScan
[<Flag 2 (S)>],2,TCP,192.168.101.13,50722,192.168.100.174,256,BENIGN,PortScan
[<Flag 2 (S)>],3,TCP,192.168.101.13,50722,192.168.100.174,22,BENIGN,PortScan
[<Flag 2 (S)>],2,TCP,192.168.101.13,50722,192.168.100.174,110,BENIGN,PortScan
[<Flag 2 (S)>],3,TCP,192.168.101.13,50722,192.168.100.174,1723,BENIGN,PortScan
[<Flag 2 (S)>],2,TCP,192.168.101.13,50722,192.168.100.174,113,BENIGN,PortScan
[<Flag 2 (S)>],2,TCP,192.168.101.13,50722,192.168.100.174,25,BENIGN,PortScan
[<Flag 2 (S)>],3,TCP,192.168.101.13,50722,192.168.100.174,23,BENIGN,PortScan
[<Flag 2 (S)>],2,TCP,192.168.101.13,50722,192.168.100.174,995,BENIGN,PortScan
[<Flag 2 (S)>],3,TCP,192.168.101.13,50722,192.168.100.174,554,BENIGN,PortScan
[<Flag 2 (S)>],2,TCP,192.168.101.13,50722,192.168.100.174,993,BENIGN,PortScan
[<Flag 2 (S)>],2,TCP,192.168.101.13,50722,192.168.100.174,53,BENIGN,PortScan
[<Flag 2 (S)>],3,TCP,192.168.101.13,50722,192.168.100.174,143,BENIGN,PortScan
[<Flag 2 (S)>],6,TCP,192.168.101.13,50720,192.168.100.174,1025,BENIGN,PortScan
[<Flag 2 (S)>],9,TCP,192.168.101.13,50720,192.168.100.174,8888,BENIGN,PortScan
[<Flag 2 (S)>],2,TCP,192.168.101.13,50720,192.168.100.174,443,BENIGN,PortScan
[<Flag 18 (SA)>],122,TCP,192.168.101.13,50720,192.168.100.174,443,BENIGN,PortScan
[<Flag 18 (SA)>],125,TCP,192.168.101.13,50720,192.168.100.174,443,BENIGN,PortScan
[<Flag 4 (R)>],384,TCP,192.168.101.13,50720,192.168.100.174,443,BENIGN,PortScan
[<Flag 2 (S)>],10,TCP,192.168.101.13,50720,192.168.100.174,135,BENIGN,PortScan
[<Flag 18 (SA)>],203,TCP,192.168.101.13,50720,192.168.100.174,135,BENIGN,PortScan
[<Flag 18 (SA)>],207,TCP,192.168.101.13,50720,192.168.100.174,135,BENIGN,PortScan
[<Flag 2 (S)>],4,TCP,192.168.101.13,50720,192.168.100.174,3389,BENIGN,PortScan
[<Flag 4 (R)>],440,TCP,192.168.101.13,50720,192.168.100.174,135,BENIGN,PortScan
[<Flag 2 (S)>],3,TCP,192.168.101.13,50720,192.168.100.174,8080,BENIGN,PortScan
[<Flag 2 (S)>],4,TCP,192.168.101.13,50720,192.168.100.174,199,BENIGN,PortScan
[<Flag 2 (S)>],3,TCP,192.168.101.13,50720,192.168.100.174,21,BENIGN,PortScan
[<Flag 2 (S)>],4,TCP,192.168.101.13,50720,192.168.100.174,2323,BENIGN,PortScan
[<Flag 2 (S)>],4,TCP,192.168.101.13,50720,192.168.100.174,1048,BENIGN,PortScan
[<Flag 2 (S)>],4,TCP,192.168.101.13,50720,192.168.100.174,13722,BENIGN,PortScan
[<Flag 2 (S)>],9,TCP,192.168.101.13,50720,192.168.100.174,2718,BENIGN,PortScan
[<Flag 2 (S)>],4,TCP,192.168.101.13,50720,192.168.100.174,6346,BENIGN,PortScan
[<Flag 2 (S)>],3,TCP,192.168.101.13,50720,192.168.100.174,524,BENIGN,PortScan
[<Flag 2 (S)>],3,TCP,192.168.101.13,50720,192.168.100.174,9917,BENIGN,PortScan
[<Flag 2 (S)>],4,TCP,192.168.101.13,50720,192.168.100.174,4343,BENIGN,PortScan
[<Flag 2 (S)>],3,TCP,192.168.101.13,50720,192.168.100.174,20005,BENIGN,PortScan
[<Flag 2 (S)>],4,TCP,192.168.101.13,50720,192.168.100.174,1494,BENIGN,PortScan
[<Flag 2 (S)>],3,TCP,192.168.101.13,50720,192.168.100.174,10626,BENIGN,PortScan
[<Flag 2 (S)>],3,TCP,192.168.101.13,50720,192.168.100.174,7741,BENIGN,PortScan
[<Flag 2 (S)>],4,TCP,192.168.101.13,50720,192.168.100.174,1095,BENIGN,PortScan
[<Flag 2 (S)>],3,TCP,192.168.101.13,50720,192.168.100.174,3261,BENIGN,PortScan
[<Flag 2 (S)>],3,TCP,192.168.101.13,50720,192.168.100.174,255,BENIGN,PortScan
[<Flag 2 (S)>],3,TCP,192.168.101.13,50720,192.168.100.174,9110,BENIGN,PortScan
[<Flag 2 (S)>],4,TCP,192.168.101.13,50720,192.168.100.174,2702,BENIGN,PortScan
[<Flag 2 (S)>],10,TCP,192.168.101.13,50722,192.168.100.174,1025,BENIGN,PortScan
[<Flag 2 (S)>],6,TCP,192.168.100.174,65046,20.213.196.212,443,BENIGN,BENIGN
[<Flag 2 (S)>],12,TCP,192.168.101.13,50722,192.168.100.174,8888,BENIGN,PortScan
[<Flag 2 (S)>],7,TCP,192.168.101.13,50722,192.168.100.174,2702,BENIGN,PortScan
[<Flag 2 (S)>],5,TCP,192.168.101.13,50722,192.168.100.174,9110,BENIGN,PortScan
[<Flag 2 (S)>],2,TCP,192.168.101.13,50722,192.168.100.174,255,BENIGN,PortScan
[<Flag 2 (S)>],1,TCP,192.168.101.13,50722,192.168.100.174,3261,BENIGN,PortScan
[<Flag 2 (S)>],1,TCP,192.168.101.13,50722,192.168.100.174,1095,BENIGN,PortScan
[<Flag 2 (S)>],2,TCP,192.168.101.13,50722,192.168.100.174,7741,BENIGN,PortScan
[<Flag 2 (S)>],2,TCP,192.168.101.13,50722,192.168.100.174,10626,BENIGN,PortScan
[<Flag 2 (S)>],2,TCP,192.168.101.13,50722,192.168.100.174,1494,BENIGN,PortScan
[<Flag 2 (S)>],1,TCP,192.168.101.13,50722,192.168.100.174,20005,BENIGN,PortScan
[<Flag 2 (S)>],1,TCP,192.168.101.13,50722,192.168.100.174,4343,BENIGN,PortScan
[<Flag 2 (S)>],1,TCP,192.168.101.13,50722,192.168.100.174,9917,BENIGN,PortScan
[<Flag 2 (S)>],2,TCP,192.168.101.13,50722,192.168.100.174,524,BENIGN,PortScan
[<Flag 2 (S)>],1,TCP,192.168.101.13,50722,192.168.100.174,6346,BENIGN,PortScan
[<Flag 2 (S)>],1,TCP,192.168.101.13,50722,192.168.100.174,2718,BENIGN,PortScan
[<Flag 2 (S)>],1,TCP,192.168.101.13,50722,192.168.100.174,13722,BENIGN,PortScan
[<Flag 2 (S)>],1,TCP,192.168.101.13,50722,192.168.100.174,1048,BENIGN,PortScan
[<Flag 2 (S)>],1,TCP,192.168.101.13,50722,192.168.100.174,2323,BENIGN,PortScan
[<Flag 2 (S)>],1,TCP,192.168.101.13,50722,192.168.100.174,21,BENIGN,PortScan
[<Flag 2 (S)>],1,TCP,192.168.101.13,50722,192.168.100.174,199,BENIGN,PortScan
[<Flag 2 (S)>],5,TCP,192.168.101.13,50722,192.168.100.174,8080,BENIGN,PortScan
[<Flag 2 (S)>],2,TCP,192.168.101.13,50722,192.168.100.174,3389,BENIGN,PortScan
[<Flag 2 (S)>],17,TCP,192.168.101.13,50720,192.168.100.174,3809,BENIGN,PortScan
[<Flag 2 (S)>],13,TCP,192.168.101.13,50720,192.168.100.174,5850,BENIGN,PortScan
[<Flag 2 (S)>],7,TCP,192.168.101.13,50720,192.168.100.174,668,BENIGN,PortScan
[<Flag 2 (S)>],12,TCP,192.168.101.13,50720,192.168.100.174,10002,BENIGN,PortScan
[<Flag 2 (S)>],13,TCP,192.168.101.13,50720,192.168.100.174,5001,BENIGN,PortScan
[<Flag 2 (S)>],4,TCP,192.168.101.13,50720,192.168.100.174,9593,BENIGN,PortScan
[<Flag 2 (S)>],5,TCP,192.168.101.13,50720,192.168.100.174,631,BENIGN,PortScan
[<Flag 2 (S)>],4,TCP,192.168.101.13,50720,192.168.100.174,4005,BENIGN,PortScan
[<Flag 2 (S)>],4,TCP,192.168.101.13,50720,192.168.100.174,1213,BENIGN,PortScan
[<Flag 2 (S)>],6,TCP,192.168.101.13,50720,192.168.100.174,17,BENIGN,PortScan
[<Flag 2 (S)>],4,TCP,192.168.101.13,50720,192.168.100.174,1049,BENIGN,PortScan
[<Flag 2 (S)>],3,TCP,192.168.101.13,50720,192.168.100.174,3476,BENIGN,PortScan
[<Flag 2 (S)>],3,TCP,192.168.101.13,50720,192.168.100.174,1175,BENIGN,PortScan
[<Flag 2 (S)>],3,TCP,192.168.101.13,50720,192.168.100.174,49,BENIGN,PortScan
[<Flag 2 (S)>],3,TCP,192.168.101.13,50720,192.168.100.174,50300,BENIGN,PortScan
[<Flag 2 (S)>],3,TCP,192.168.101.13,50720,192.168.100.174,1300,BENIGN,PortScan
[<Flag 2 (S)>],4,TCP,192.168.101.13,50720,192.168.100.174,1594,BENIGN,PortScan
[<Flag 2 (S)>],3,TCP,192.168.101.13,50720,192.168.100.174,8994,BENIGN,PortScan
[<Flag 2 (S)>],4,TCP,192.168.101.13,50720,192.168.100.174,9,BENIGN,PortScan
[<Flag 2 (S)>],3,TCP,192.168.101.13,50720,192.168.100.174,1082,BENIGN,PortScan
[<Flag 2 (S)>],4,TCP,192.168.101.13,50720,192.168.100.174,5910,BENIGN,PortScan
